id;status;french_name;english_name;french_attribut;english_attribut;type;french_tag;english_tag;unit;validity_range;comment;CO2
43265;Valide générique;Electricité;Grid electricity;2015 - mix moyen;2015;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2015;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0609
43266;Valide générique;Electricité;Grid electricity;2016 - mix moyen;2016;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2016;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0573
43267;Valide générique;Electricité;Grid electricity;2017 - mix moyen;2017;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2017;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0558
43268;Valide générique;Electricité;Grid electricity;2018 - mix moyen;2018;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2018;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0571
43269;Valide générique;Electricité;Grid electricity;2019 - mix moyen;2019;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2019;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0607
43270;Valide générique;Electricité;Grid electricity;2020 - mix moyen;2020;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2020;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0599
43271;Valide générique;Electricité;Grid electricity;2021 - mix moyen;2021;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2021;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0569
43272;Valide générique;Electricité;Grid electricity;2022 - mix moyen;2022;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2022;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.052
43273;Valide générique;Electricité;Grid electricity;2023 - mix moyen;2023;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2023;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.058
43274;Valide générique;Electricité;Grid electricity;2024 - mix moyen;2024;Electricité > Mix réseau électrique > France continentale > Moyen;Electricité,France continentale,Mix électrique;Electricity,France,Mix;kgCO2e/kWh;Année 2024;L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement;0.0519
26696;Valide générique;Fioul domestique;Domestic fuel oil;;;Combustibles > Fossiles > Liquides > Usage source fixe;combustible liquide,Fioul domestique,Guadeloupe,Martinique,Guyane,Corse;Martinique,French Guyana,Corsica,liquid combustible,combustible,Guadeloupe;kgCO2e/litre;déc-21;;2.95
34948;Valide générique;Granulés;Pellets;Blancs français (issus de connexe de scierie);French whites (from sawmill related);Combustibles > Organiques > Solides;biocombustible,bois,Granulés;wood,Biofuel,Pellets;kgCO2e/kg;24/03/2025;% humidité = 8% . PCI = 4,86 MWhPCI/tonne brute. Masse volumique : 0,75 t/m3. Usage : Réseau chaleur. Combustible utilisé pour le séchage : écorce et broyat de palettes. Rendement 80%. Transport vers chaufferie  inclus. Installation anti pollution : multi cyclone.;0.0469
37138;Valide générique;Gaz naturel - 2022;Natural gas - 2022;mix moyen;Mix;Combustibles > Fossiles > Gazeux > Gaz naturel;combustible gazeux,gaz naturel;;kgCO2e/m3;28/02/2025;Combustion d'1 m3 de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !;2.32
